model,auprc,f1,precision,recall
gemma-3-27b,0.7972115981824719,0.6666666666666666,0.9444444444444444,0.5151515151515151
Dummy (Majority),0.6407766990291263,0.7810650887573964,0.6407766990291263,1.0
