id,scenario,scenario_name,pooling,model,threshold,train_f1,train_auprc,train_roc_auc,train_prec,train_rec,val_f1,val_auprc,val_roc_auc,val_prec,val_rec,test_f1,test_auprc,test_roc_auc,test_prec,test_rec
S2a,baseline,Gold Balanced,mean,LogReg,0.3563741065897363,0.9772256728778468,0.9984669605775361,0.9972426470588235,0.9711934156378601,0.9833333333333333,0.8771929824561403,0.949653184118109,0.9076923076923077,0.8064516129032258,0.9615384615384616,0.8776978417266187,0.9335929640967293,0.8923013923013923,0.8356164383561644,0.9242424242424242
S2a,baseline,Gold Balanced,mean,SVM (RBF),0.3888121419746502,0.9237113402061856,0.9831439864041023,0.9666207107843137,0.9142857142857143,0.9333333333333333,0.8928571428571429,0.9359073376304224,0.8897435897435898,0.8333333333333334,0.9615384615384616,0.8840579710144928,0.9219821024520545,0.8722358722358723,0.8472222222222222,0.9242424242424242
S2a,baseline,Gold Balanced,mean,XGBoost,0.6801177263259888,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.8727272727272727,0.9481249554243205,0.9076923076923077,0.8275862068965517,0.9230769230769231,0.8721804511278195,0.9310450650978812,0.8908681408681409,0.8656716417910447,0.8787878787878788
S2a,baseline,Gold Balanced,mean,Dummy,0.0,0.6378600823045267,0.6329913365623018,0.48835784313725494,0.6300813008130082,0.6458333333333334,0.6428571428571429,0.6105065666041276,0.4461538461538461,0.6,0.6923076923076923,0.6861313868613139,0.655870202089264,0.5317362817362817,0.6619718309859155,0.7121212121212122
S2a,baseline,Gold Balanced,mean,SVM (Lin),0.6997114220909403,0.9830508474576272,0.9999482036271807,0.9999080882352941,1.0,0.9666666666666667,0.8846153846153846,0.9606157978812442,0.9282051282051282,0.8846153846153846,0.8846153846153846,0.8503937007874016,0.9289413672095896,0.8927108927108927,0.8852459016393442,0.8181818181818182
S2a,baseline,Gold Balanced,mean,NaiveBayes,0.011947390791222322,0.919831223628692,0.9764897518022684,0.960906862745098,0.9316239316239316,0.9083333333333333,0.8846153846153846,0.9520053904391481,0.9128205128205128,0.8846153846153846,0.8846153846153846,0.8787878787878788,0.9224092522063104,0.8826781326781327,0.8787878787878788,0.8787878787878788
S2a,baseline,Gold Balanced,mean,RandForest,0.62,1.0,1.0,1.0,1.0,1.0,0.84,0.948318163426859,0.9,0.875,0.8076923076923077,0.8461538461538461,0.914835577211661,0.8636363636363636,0.859375,0.8333333333333334
S2a,baseline,Gold Balanced,mean,XGBoost,0.6801177263259888,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.8727272727272727,0.9481249554243205,0.9076923076923077,0.8275862068965517,0.9230769230769231,0.8721804511278195,0.9310450650978812,0.8908681408681409,0.8656716417910447,0.8787878787878788
S2b,hybrid,Hybrid (G+S),mean,LogReg,0.23138663486615266,0.9956709956709957,0.9998406291731531,0.9988883242281793,0.9978308026030369,0.9935205183585313,0.9615384615384616,0.9929771924955177,0.9522875816993465,0.9433962264150944,0.9803921568627451,0.9748549323017408,0.9945229831574987,0.9658994932432433,0.9655172413793104,0.984375
S2b,hybrid,Hybrid (G+S),mean,SVM (RBF),0.5101954281758371,0.9831246597713663,0.9992574186108022,0.9948227671198069,0.991218441273326,0.9751619870410367,0.9611650485436893,0.993861676047656,0.957516339869281,0.9519230769230769,0.9705882352941176,0.9766536964980544,0.9952014814227447,0.9695945945945946,0.9728682170542635,0.98046875
S2b,hybrid,Hybrid (G+S),mean,XGBoost,0.4166981875896454,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.9927030216637667,0.9503267973856209,0.9259259259259259,0.9803921568627451,0.9547169811320755,0.9915727463069581,0.9498521959459459,0.9233576642335767,0.98828125
S2b,hybrid,Hybrid (G+S),mean,Dummy,0.0,0.8636610537751223,0.8692892120728146,0.48808918815906494,0.8688524590163934,0.8585313174946004,0.883495145631068,0.8746543489190548,0.5127450980392156,0.875,0.8921568627450981,0.8622047244094488,0.8697229438383716,0.48178842905405406,0.8690476190476191,0.85546875
S2b,hybrid,Hybrid (G+S),mean,SVM (Lin),0.6091465183926438,0.99457111834962,1.0,1.0,1.0,0.9892008639308856,0.9615384615384616,0.9910052374456929,0.9405228758169936,0.9433962264150944,0.9803921568627451,0.9688715953307393,0.9936413575070138,0.9605152027027027,0.9651162790697675,0.97265625
S2b,hybrid,Hybrid (G+S),mean,NaiveBayes,3.0229080336074436e-15,0.9602150537634409,0.9941633470844478,0.9652005780714014,0.9561027837259101,0.9643628509719222,0.9359605911330049,0.9911607081398316,0.9372549019607843,0.9405940594059405,0.9313725490196079,0.9448818897637795,0.9903189426186274,0.9493771114864866,0.9523809523809523,0.9375
S2b,hybrid,Hybrid (G+S),mean,RandForest,0.66,1.0,1.0,0.9999999999999999,1.0,1.0,0.9478672985781991,0.9884797146498556,0.9297385620915033,0.9174311926605505,0.9803921568627451,0.9511278195488722,0.9910576052478202,0.9439400337837839,0.9166666666666666,0.98828125
S2b,hybrid,Hybrid (G+S),mean,XGBoost,0.4166981875896454,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.9927030216637667,0.9503267973856209,0.9259259259259259,0.9803921568627451,0.9547169811320755,0.9915727463069581,0.9498521959459459,0.9233576642335767,0.98828125
S2a,baseline,Gold Balanced,cls,LogReg,0.3519387532524707,0.9634146341463414,0.9957767285718496,0.9924325980392157,0.9404761904761905,0.9875,0.8518518518518519,0.8905199499169472,0.8307692307692307,0.8214285714285714,0.8846153846153846,0.851063829787234,0.9239155715562257,0.8902538902538902,0.8,0.9090909090909091
