scenario,filter,model,run_id,train_time_sec,test_auprc,test_roc_auc,test_max_f1,test_precision_at_max_f1,test_recall_at_max_f1,train_auprc,train_roc_auc,train_max_f1,train_precision_at_max_f1,train_recall_at_max_f1
S1b,none,RandForest,0,0.28670310974121094,0.9700673627787787,0.9677506046761623,0.8943089430894309,0.8870967741935484,0.9016393442622951,1.0,1.0,1.0,1.0,1.0
S1b,mild,LogReg,0,0.03687286376953125,0.990516740270721,0.9888504421376393,0.96,0.9795918367346939,0.9411764705882353,1.0,1.0,1.0,1.0,1.0
S1b,mild,SVM (RBF),0,0.08995461463928223,0.9926924444618908,0.9915417147251058,0.9696969696969697,1.0,0.9411764705882353,0.9982443258840541,0.9981557426775705,0.9852216748768473,0.9852216748768473,0.9852216748768473
S1b,mild,XGBoost,0,1.5776667594909668,0.9816496833484156,0.9803921568627451,0.9400000000000001,0.9591836734693877,0.9215686274509803,1.0,1.0,1.0,1.0,1.0
S1b,mild,Dummy,0,0.0009982585906982422,0.5898692810457516,0.44117647058823534,0.6666666666666666,0.5,1.0,0.6257673361121637,0.5073891625615763,0.6666666666666666,0.5,1.0
S1b,mild,SVM (Lin),0,0.0632014274597168,0.9899276457427362,0.9884659746251442,0.9607843137254902,0.9607843137254902,0.9607843137254902,1.0,1.0,1.0,1.0,1.0
S1b,mild,NaiveBayes,0,0.00551915168762207,0.9440494961937971,0.9488658208381392,0.888888888888889,0.9166666666666666,0.8627450980392157,0.9678545050430195,0.962884321386105,0.9,0.8709677419354839,0.9310344827586207
S1b,mild,RandForest,0,0.20571446418762207,0.9811257599558688,0.9803921568627452,0.9333333333333333,0.9074074074074074,0.9607843137254902,0.9999999999999999,1.0,1.0,1.0,1.0
S1b,aggressive,LogReg,0,0.048003435134887695,0.9890876763578865,0.9868197278911565,0.9574468085106383,0.9782608695652174,0.9375,1.0,1.0,1.0,1.0,1.0
S1b,aggressive,SVM (RBF),0,0.12952828407287598,0.9903768726916015,0.9893707482993197,0.968421052631579,0.9787234042553191,0.9583333333333334,0.9974867948958753,0.9976229902248812,0.9872122762148339,0.9796954314720813,0.9948453608247423
S1b,aggressive,XGBoost,0,1.3855221271514893,0.9653933673380763,0.9621598639455783,0.8846153846153847,0.8214285714285714,0.9583333333333334,1.0,1.0,1.0,1.0,1.0
S1b,aggressive,Dummy,0,0.0010004043579101562,0.6137113402061856,0.48469387755102045,0.6620689655172414,0.4948453608247423,1.0,0.64513643399517,0.5297526841514876,0.6678141135972461,0.5012919896640827,1.0
S1b,aggressive,SVM (Lin),0,0.05058693885803223,0.979861548781376,0.9757653061224489,0.9400000000000001,0.9038461538461539,0.9791666666666666,1.0,1.0,1.0,1.0,1.0
S1b,aggressive,NaiveBayes,0,0.0030388832092285156,0.9224638920417194,0.9260204081632653,0.8653846153846154,0.8035714285714286,0.9375,0.9706387410532276,0.9673361465733669,0.9072164948453608,0.9072164948453608,0.9072164948453608
S1b,aggressive,RandForest,0,0.2226417064666748,0.9571746685431266,0.9551445578231291,0.8979591836734694,0.88,0.9166666666666666,1.0,1.0,1.0,1.0,1.0
S1d,none,LogReg,0,0.14957094192504883,0.8843803036110225,0.9652334387882275,0.8184818481848184,0.8239202657807309,0.8131147540983606,0.9999052873346157,0.9999050697500012,0.99511665762344,0.9913513513513513,0.9989106753812637
S1d,none,SVM (RBF),0,5.975919246673584,0.883048735307669,0.9642300194931773,0.8053691275167785,0.8247422680412371,0.7868852459016393,0.9974462248399334,0.9974416297625319,0.9767693138843868,0.9689174705251876,0.9847494553376906
S1d,none,XGBoost,0,5.908995866775513,0.827309844521495,0.9445562905442111,0.7593582887700535,0.83203125,0.6983606557377049,0.9999999999999999,1.0,1.0,1.0,1.0
S1d,none,Dummy,0,0.0,0.33409253612714684,0.49014156520627616,0.22915101427498125,0.12940178192617735,1.0,0.6187003925407657,0.4934640522875817,0.6666666666666666,0.5,1.0
S1d,none,SVM (Lin),0,2.4814398288726807,0.8453570808889157,0.957905921452082,0.7869918699186992,0.7806451612903226,0.7934426229508197,1.0,1.0,1.0,1.0,1.0
S1d,none,NaiveBayes,0,0.018352508544921875,0.6596770483499468,0.8833429201418848,0.637137989778535,0.6631205673758865,0.6131147540983607,0.9572099500095458,0.9550291673193121,0.8952590959206174,0.90625,0.8845315904139434
S1d,none,RandForest,0,1.015453815460205,0.8007537032837235,0.934096283513885,0.7396351575456053,0.7483221476510067,0.7311475409836066,1.0,1.0,1.0,1.0,1.0
S1d,mild,LogReg,0,0.1831364631652832,0.9222389804138325,0.9750254747568319,0.857685009487666,0.8278388278388278,0.889763779527559,0.9997269019862264,0.9997298320919076,0.9932810750279955,0.9899553571428571,0.996629213483146
S1d,mild,SVM (RBF),0,4.482207298278809,0.9243931405139091,0.9755133549482785,0.8482328482328483,0.8986784140969163,0.8031496062992126,0.9956825070347415,0.9959209695745486,0.9709821428571428,0.9645232815964523,0.9775280898876404
S1d,mild,XGBoost,0,6.0455217361450195,0.8793226891619214,0.9520055581287634,0.803347280334728,0.8571428571428571,0.7559055118110236,1.0,1.0,1.0,1.0,1.0
S1d,mild,Dummy,0,0.0,0.3731121688851283,0.5005805156708353,0.284913067863152,0.16612164813603664,1.0,0.6224642838985206,0.49775280898876395,0.6666666666666666,0.5,1.0
S1d,mild,SVM (Lin),0,2.636805295944214,0.8846346288423856,0.9659286706808707,0.8155737704918032,0.8504273504273504,0.7834645669291339,0.9999936769909508,0.9999936876656987,0.9994385176866928,0.9988776655443322,1.0
S1d,mild,NaiveBayes,0,0.019977807998657227,0.7463578489396362,0.9037625443878339,0.6927835051546393,0.7272727272727273,0.6614173228346457,0.9437748471231544,0.9421846989016538,0.8737430167597765,0.8688888888888889,0.8786516853932584
S1d,mild,RandForest,0,1.1731224060058594,0.8655639066643878,0.9440991199629457,0.7855787476280836,0.7582417582417582,0.8149606299212598,0.9999999999999999,1.0,1.0,1.0,1.0
S1d,aggressive,LogReg,0,0.07729125022888184,0.926233612396507,0.9758238058775381,0.8702594810379242,0.8416988416988417,0.9008264462809917,0.9998715008759486,0.999871550570011,0.9959700633275763,0.9965437788018433,0.9953970080552359
S1d,aggressive,SVM (RBF),0,4.338129997253418,0.9246457335692537,0.9728170464446968,0.8583690987124464,0.8928571428571429,0.8264462809917356,0.9963423279838601,0.9960591185190972,0.9692396982008125,0.977751756440281,0.9608745684695051
