Varianta promptu,Detekce F1,Detekce Přesnost,Detekce Úplnost,AUPRC,Extrakce F1,Extrakce Přesnost,Extrakce Úplnost,Parse chyby
A_base,0.700,0.897,0.574,0.767,0.440,0.564,0.361,0
B_theory,0.765,0.951,0.639,0.822,0.490,0.610,0.410,0
