id,scenario,scenario_name,pooling,model,threshold,train_f1,train_auprc,train_roc_auc,train_prec,train_rec,val_f1,val_auprc,val_roc_auc,val_prec,val_rec,test_f1,test_auprc,test_roc_auc,test_prec,test_rec
S2a,baseline,Gold Balanced,mean,LogReg,0.5299148892779013,0.9572649572649573,0.9960530944087996,0.9928615196078431,0.9824561403508771,0.9333333333333333,0.8846153846153846,0.9635286332537569,0.9358974358974359,0.8846153846153846,0.8846153846153846,0.8387096774193549,0.9452055249236035,0.9123669123669124,0.896551724137931,0.7878787878787878
S2a,baseline,Gold Balanced,mean,SVM (RBF),0.5443072783668251,0.9071729957805907,0.9684417432815262,0.9466605392156864,0.9188034188034188,0.8958333333333334,0.8888888888888888,0.9538518820022166,0.9256410256410256,0.8571428571428571,0.9230769230769231,0.8615384615384616,0.9429870762193792,0.9021294021294021,0.875,0.8484848484848485
S2a,baseline,Gold Balanced,mean,XGBoost,0.4955630600452423,1.0,0.9999999999999999,1.0,1.0,1.0,0.8214285714285714,0.923523212718879,0.8564102564102564,0.7666666666666667,0.8846153846153846,0.8372093023255814,0.9343516566160734,0.8714168714168714,0.8571428571428571,0.8181818181818182
S2a,baseline,Gold Balanced,mean,Dummy,0.0,0.6378600823045267,0.6329913365623018,0.48835784313725494,0.6300813008130082,0.6458333333333334,0.6428571428571429,0.6105065666041276,0.4461538461538461,0.6,0.6923076923076923,0.6861313868613139,0.655870202089264,0.5317362817362817,0.6619718309859155,0.7121212121212122
S2a,baseline,Gold Balanced,mean,SVM (Lin),0.6030657158177144,0.9873949579831933,0.9997876401377976,0.9996323529411765,0.9957627118644068,0.9791666666666666,0.8727272727272727,0.9666859184919725,0.9358974358974359,0.8275862068965517,0.9230769230769231,0.8130081300813008,0.9175226152944473,0.8685503685503687,0.8771929824561403,0.7575757575757576
S2a,baseline,Gold Balanced,mean,NaiveBayes,0.9187382666243711,0.8923076923076924,0.9608573101976362,0.9366115196078432,0.9441860465116279,0.8458333333333333,0.8627450980392157,0.9074295945123965,0.8858974358974359,0.88,0.8461538461538461,0.7796610169491526,0.9099325169257736,0.8513513513513513,0.8846153846153846,0.696969696969697
S2a,baseline,Gold Balanced,mean,RandForest,0.65,1.0,1.0,1.0,1.0,1.0,0.875,0.9381758999406058,0.8871794871794872,0.9545454545454546,0.8076923076923077,0.7241379310344828,0.8905615931345852,0.8052825552825552,0.84,0.6363636363636364
S2a,baseline,Gold Balanced,mean,XGBoost,0.4955630600452423,1.0,0.9999999999999999,1.0,1.0,1.0,0.8214285714285714,0.923523212718879,0.8564102564102564,0.7666666666666667,0.8846153846153846,0.8372093023255814,0.9343516566160734,0.8714168714168714,0.8571428571428571,0.8181818181818182
S2b,hybrid,Hybrid (G+S),mean,LogReg,0.39713100691511455,0.9857768052516411,0.9996202067315867,0.9973319781476305,0.9988913525498891,0.9730021598272138,0.9705882352941176,0.9943638802461316,0.9627450980392157,0.9705882352941176,0.9705882352941176,0.9642857142857143,0.9947085694072191,0.9666385135135135,0.9798387096774194,0.94921875
S2b,hybrid,Hybrid (G+S),mean,SVM (RBF),0.5778756602677849,0.9743309666848716,0.997752576973721,0.9850400203277856,0.9856353591160221,0.9632829373650108,0.9705882352941176,0.9948322090025707,0.9647058823529411,0.9705882352941176,0.9705882352941176,0.962671905697446,0.9938833249054051,0.9612542229729729,0.9683794466403162,0.95703125
