Varianta promptu,Detekce F1,Detekce Přesnost,Detekce Úplnost,AUPRC,Extrakce F1,Extrakce Přesnost,Extrakce Úplnost,Parse chyby
A_base,0.713,0.900,0.590,0.774,0.455,0.575,0.377,0
B_theory,0.765,0.951,0.639,0.822,0.490,0.610,0.410,0
